Presidente;Mandato;Data;Ótimo/Bom;Regular;Ruim/Péssimo;Não sabe;Taxa de juros - Over/Selic (% a.m.);Inflação - IPCA (% a.m.) ;Taxa de desemprego (%)
Collor;1;15/06/1990;36;43;19;2;8,7310;11,75;5,28
Collor;1;01/09/1990;34;43;20;3;15,2140;14,41;4,59
Collor;1;01/03/1991;23;40;34;3;8,9924;11,92;6,41
Collor;1;01/09/1991;18;39;41;2;19,7830;15,63;4,65
Collor;1;01/03/1992;15;35;48;2;26,8576;21,40;6,84
Collor;1;01/09/1992;9;21;68;1;27,6584;24,63;6,17
Itamar Franco;1;01/12/1992;34;45;11;11;25,9163;25,24;5,01
Itamar Franco;1;01/02/1993;36;44;8;11;28,9036;24,98;6,30
Itamar Franco;1;01/03/1993;24;51;18;8;28,3569;27,26;6,25
Itamar Franco;1;01/04/1993;17;49;27;6;30,5330;27,75;6,57
Itamar Franco;1;01/05/1993;19;50;26;5;30,8973;27,69;5,73
Itamar Franco;1;01/06/1993;17;52;27;4;31,9141;30,07;5,31
Itamar Franco;1;01/08/1993;15;48;34;4;34,6354;32,96;5,71
Itamar Franco;1;01/11/1993;12;43;41;4;38,3815;35,56;5,15
Itamar Franco;1;01/12/1993;18;45;34;3;40,3777;36,84;4,95
Itamar Franco;1;01/03/1994;15;45;37;4;46,4167;42,75;6,31
Itamar Franco;1;01/04/1994;16;43;38;4;46,4854;42,68;5,80
Itamar Franco;1;01/08/1994;37;46;13;4;4,1703;1,86;5,85
Itamar Franco;1;01/09/1994;32;49;13;6;3,8340;1,53;5,30
Itamar Franco;1;01/10/1994;40;46;10;5;3,6221;2,62;4,85
Itamar Franco;1;01/12/1994;41;48;8;4;3,7975;1,71;3,78
Fernando Henrique Cardoso ;1;01/03/1995;39;40;16;5;4,2621;1,55;4,77
Fernando Henrique Cardoso ;1;01/06/1995;40;40;17;3;4,0397;2,26;4,89
Fernando Henrique Cardoso ;1;01/09/1995;42;39;15;4;3,3247;0,99;5,46
Fernando Henrique Cardoso ;1;01/12/1995;41;40;15;4;2,7773;1,56;4,95
Fernando Henrique Cardoso ;1;01/06/1996;30;41;25;5;1,9773;1,19;6,28
Fernando Henrique Cardoso ;1;01/09/1996;43;38;17;2;1,9041;0,15;5,63
Fernando Henrique Cardoso ;1;01/12/1996;47;38;12;3;1,8043;0,47;4,25
Fernando Henrique Cardoso ;1;01/05/1997;42;38;18;2;1,5845;0,41;6,39
Fernando Henrique Cardoso ;1;01/06/1997;39;42;16;2;1,6068;0,54;6,80
Fernando Henrique Cardoso ;1;01/09/1997;43;41;15;1;1,5903;0,06;6,13
Fernando Henrique Cardoso ;1;01/12/1997;37;40;20;3;2,9724;0,43;5,53
Fernando Henrique Cardoso ;1;01/03/1998;38;39;21;2;2,2007;0,34;8,93
Fernando Henrique Cardoso ;1;01/04/1998;35;41;21;3;1,7067;0,24;8,90
Fernando Henrique Cardoso ;1;01/05/1998;31;43;24;2;1,6300;0,50;8,88
Fernando Henrique Cardoso ;1;01/06/1998;31;41;25;3;1,6024;0,02;8,71
Fernando Henrique Cardoso ;1;01/07/1998;38;41;19;2;1,7037;-0,12;8,74
Fernando Henrique Cardoso ;1;01/08/1998;39;40;18;3;1,4763;-0,51;8,48
Fernando Henrique Cardoso ;1;01/09/1998;43;37;17;2;2,4875;-0,22;8,25
Fernando Henrique Cardoso ;1;01/12/1998;35;37;25;3;2,4016;0,33;7,13
Fernando Henrique Cardoso ;2;01/02/1999;21;39;36;4;2,3787;1,05;8,46
Fernando Henrique Cardoso ;2;01/06/1999;16;38;44;3;1,6719;0,19;8,40
Fernando Henrique Cardoso ;2;01/09/1999;13;27;56;3;1,4871;0,31;7,96
Fernando Henrique Cardoso ;2;01/12/1999;16;36;46;3;1,5996;0,60;7,11
Fernando Henrique Cardoso ;2;01/03/2000;18;37;43;2;1,4493;0,22;9,03
Fernando Henrique Cardoso ;2;01/06/2000;19;38;41;2;1,3917;0,23;8,12
Fernando Henrique Cardoso ;2;01/10/2000;23;38;37;2;1,2878;0,14;7,50
Fernando Henrique Cardoso ;2;01/12/2000;24;39;35;2;1,1982;0,59;5,58
Fernando Henrique Cardoso ;2;01/03/2001;26;42;30;1;1,2579;0,38;6,95
Fernando Henrique Cardoso ;2;01/06/2001;19;38;42;1;1,2733;0,52;6,96
Fernando Henrique Cardoso ;2;01/09/2001;22;40;36;2;1,3243;0,28;6,76
Fernando Henrique Cardoso ;2;01/11/2001;24;38;36;2;1,3934;0,71;6,99
Fernando Henrique Cardoso ;2;01/12/2001;24;40;35;2;1,3935;0,65;6,43
Fernando Henrique Cardoso ;2;01/07/2002;31;40;26;2;1,5354;1,19;11,6
Fernando Henrique Cardoso ;2;01/09/2002;23;40;34;3;1,3813;0,72;11,5
