Data;Ótimo/Bom;Regular;Ruim/Péssimo;Não sabe;Presidente;Mandato
15/06/1990;"36";"43";"19";"2";"Collor";"1"
01/09/1990;"34";"43";"20";"3";"Collor";"1"
01/03/1991;"23";"40";"34";"3";"Collor";"1"
01/09/1991;"18";"39";"41";"2";"Collor";"1"
01/03/1992;"15";"35";"48";"2";"Collor";"1"
01/09/1992;"9";"21";"68";"1";"Collor";"1"
01/12/1992;"34";"45";"11";"11";"Itamar Franco";"1"
01/02/1993;"36";"44";"8";"11";"Itamar Franco";"1"
01/03/1993;"24";"51";"18";"8";"Itamar Franco";"1"
01/04/1993;"17";"49";"27";"6";"Itamar Franco";"1"
01/05/1993;"19";"50";"26";"5";"Itamar Franco";"1"
01/06/1993;"17";"52";"27";"4";"Itamar Franco";"1"
01/08/1993;"15";"48";"34";"4";"Itamar Franco";"1"
01/11/1993;"12";"43";"41";"4";"Itamar Franco";"1"
01/12/1993;"18";"45";"34";"3";"Itamar Franco";"1"
01/03/1994;"15";"45";"37";"4";"Itamar Franco";"1"
01/04/1994;"16";"43";"38";"4";"Itamar Franco";"1"
01/08/1994;"37";"46";"13";"4";"Itamar Franco";"1"
01/09/1994;"32";"49";"13";"6";"Itamar Franco";"1"
01/10/1994;"40";"46";"10";"5";"Itamar Franco";"1"
01/12/1994;"41";"48";"8";"4";"Itamar Franco";"1"
01/03/1995;"39";"40";"16";"5";"Fernando Henrique Cardoso ";"1"
01/06/1995;"40";"40";"17";"3";"Fernando Henrique Cardoso ";"1"
01/09/1995;"42";"39";"15";"4";"Fernando Henrique Cardoso ";"1"
01/12/1995;"41";"40";"15";"4";"Fernando Henrique Cardoso ";"1"
01/06/1996;"30";"41";"25";"5";"Fernando Henrique Cardoso ";"1"
01/09/1996;"43";"38";"17";"2";"Fernando Henrique Cardoso ";"1"
01/12/1996;"47";"38";"12";"3";"Fernando Henrique Cardoso ";"1"
01/05/1997;"42";"38";"18";"2";"Fernando Henrique Cardoso ";"1"
01/06/1997;"39";"42";"16";"2";"Fernando Henrique Cardoso ";"1"
01/09/1997;"43";"41";"15";"1";"Fernando Henrique Cardoso ";"1"
01/12/1997;"37";"40";"20";"3";"Fernando Henrique Cardoso ";"1"
01/03/1998;"38";"39";"21";"2";"Fernando Henrique Cardoso ";"1"
01/04/1998;"35";"41";"21";"3";"Fernando Henrique Cardoso ";"1"
01/05/1998;"31";"43";"24";"2";"Fernando Henrique Cardoso ";"1"
01/06/1998;"31";"41";"25";"3";"Fernando Henrique Cardoso ";"1"
01/07/1998;"38";"41";"19";"2";"Fernando Henrique Cardoso ";"1"
01/08/1998;"39";"40";"18";"3";"Fernando Henrique Cardoso ";"1"
01/09/1998;"43";"37";"17";"2";"Fernando Henrique Cardoso ";"1"
01/12/1998;"35";"37";"25";"3";"Fernando Henrique Cardoso ";"1"
01/02/1999;"21";"39";"36";"4";"Fernando Henrique Cardoso ";"2"
01/06/1999;"16";"38";"44";"3";"Fernando Henrique Cardoso ";"2"
01/09/1999;"13";"27";"56";"3";"Fernando Henrique Cardoso ";"2"
01/12/1999;"16";"36";"46";"3";"Fernando Henrique Cardoso ";"2"
01/03/2000;"18";"37";"43";"2";"Fernando Henrique Cardoso ";"2"
01/06/2000;"19";"38";"41";"2";"Fernando Henrique Cardoso ";"2"
01/10/2000;"23";"38";"37";"2";"Fernando Henrique Cardoso ";"2"
01/12/2000;"24";"39";"35";"2";"Fernando Henrique Cardoso ";"2"
01/03/2001;"26";"42";"30";"1";"Fernando Henrique Cardoso ";"2"
01/06/2001;"19";"38";"42";"1";"Fernando Henrique Cardoso ";"2"
01/09/2001;"22";"40";"36";"2";"Fernando Henrique Cardoso ";"2"
01/11/2001;"24";"38";"36";"2";"Fernando Henrique Cardoso ";"2"
01/12/2001;"24";"40";"35";"2";"Fernando Henrique Cardoso ";"2"
01/07/2002;"31";"40";"26";"2";"Fernando Henrique Cardoso ";"2"
01/09/2002;"23";"40";"34";"3";"Fernando Henrique Cardoso ";"2"
01/10/2002;"26";"38";"32";"4";"Fernando Henrique Cardoso ";"2"
01/12/2002;"26";"36";"36";"2";"Fernando Henrique Cardoso ";"2"
01/04/2003;"43";"40";"10";"7";"Luiz Inácio Lula da Silva";"1"
25/06/2003;"42";"43";"11";"4";"Luiz Inácio Lula da Silva";"1"
22/08/2003;"45";"42";"10";"3";"Luiz Inácio Lula da Silva";"1"
29/10/2003;"42";"44";"11";"3";"Luiz Inácio Lula da Silva";"1"
15/12/2003;"42";"41";"15";"2";"Luiz Inácio Lula da Silva";"1"
01/03/2004;"38";"43";"17";"2";"Luiz Inácio Lula da Silva";"1"
18/08/2004;"35";"45";"17";"3";"Luiz Inácio Lula da Silva";"1"
17/12/2004;"45";"40";"13";"1";"Luiz Inácio Lula da Silva";"1"
01/06/2005;"35";"45";"18";"1";"Luiz Inácio Lula da Silva";"1"
16/06/2005;"36";"44";"19";"1";"Luiz Inácio Lula da Silva";"1"
21/07/2005;"35";"40";"23";"1";"Luiz Inácio Lula da Silva";"1"
10/08/2005;"31";"41";"26";"1";"Luiz Inácio Lula da Silva";"1"
21/08/2005;"28";"42";"28";"2";"Luiz Inácio Lula da Silva";"1"
14/12/2005;"28";"41";"29";"1";"Luiz Inácio Lula da Silva";"1"
02/02/2006;"36";"39";"23";"1";"Luiz Inácio Lula da Silva";"1"
21/02/2006;"37";"39";"22";"1";"Luiz Inácio Lula da Silva";"1"
17/03/2006;"38";"38";"23";"1";"Luiz Inácio Lula da Silva";"1"
07/04/2006;"37";"38";"23";"1";"Luiz Inácio Lula da Silva";"1"
24/05/2006;"39";"37";"22";"1";"Luiz Inácio Lula da Silva";"1"
18/07/2006;"38";"40";"21";"1";"Luiz Inácio Lula da Silva";"1"
