UF;GOVERNADOR;DATA;ÓTIMO/BOM;REGULAR;RUIM/PÉSSIMO;NS/NR
PE;MIGUEL ARRAES;mar/95;39;36;16;10
PE;MIGUEL ARRAES;jun/95;47;32;16;5
PE;MIGUEL ARRAES;dez/95;42;27;27;4
PE;MIGUEL ARRAES;dez/96;38;30;29;3
PE;MIGUEL ARRAES;jun/97;33;33;29;5
PE;MIGUEL ARRAES;dez/97;30;29;37;4
PE;MIGUEL ARRAES;jun/98;27;30;40;3
PE;MIGUEL ARRAES;ago/98;28;32;38;2
PE;MIGUEL ARRAES;dez/98;28;24;46;2
PE;JARBAS VASCONCELOS;jun/99;43;34;18;5
PE;JARBAS VASCONCELOS;jun/00;55;26;16;3
PE;JARBAS VASCONCELOS;dez/00;48;34;14;4
PE;JARBAS VASCONCELOS;jun/01;49;35;14;3
PE;JARBAS VASCONCELOS;dez/01;49;34;13;3
PE;JARBAS VASCONCELOS;dez/02;63;23;13;1
PE;JARBAS VASCONCELOS;dez/03;64;21;12;3
PE;JOÃO LIRA;ago/14;24;39;12;25



