UF;GOVERNADOR;DATA;ÓTIMO/BOM;REGULAR;RUIM/PÉSSIMO;NS/NR
SC;PAULO AFONSO;mar/95;39;39;12;10
SC;PAULO AFONSO;jun/95;36;41;17;6
SC;PAULO AFONSO;dez/95;49;37;9;5
SC;PAULO AFONSO;dez/96;40;36;21;3
SC;PAULO AFONSO;mai/97;26;36;35;3
SC;PAULO AFONSO;jun/97;31;36;29;4
SC;PAULO AFONSO;dez/97;24;37;34;5
SC;PAULO AFONSO;jun/98;25;30;42;3
SC;PAULO AFONSO;ago/98;18;35;44;3
SC;PAULO AFONSO;dez/98;24;26;48;1
SC;ESPERIDIÃO AMIN;jun/99;51;31;12;7
SC;ESPERIDIÃO AMIN;dez/99;54;33;11;3
SC;ESPERIDIÃO AMIN;jun/00;53;31;14;3
SC;ESPERIDIÃO AMIN;dez/00;46;38;13;3
SC;ESPERIDIÃO AMIN;jun/01;52;31;13;3
SC;ESPERIDIÃO AMIN;dez/02;54;25;19;2
SC;LUIZ HENRIQUE SILVEIRA;dez/03;53;30;13;4
