UF;GOVERNADOR;DATA;ÓTIMO/BOM;REGULAR;RUIM/PÉSSIMO;NS/NR
SP;MÁRIO COVAS;mar/95;31;40;16;12
SP;MÁRIO COVAS;jun/95;25;45;22;8
SP;MÁRIO COVAS;dez/95;37;40;20;3
SP;MÁRIO COVAS;dez/96;31;41;24;4
SP;MÁRIO COVAS;mai/97;27;42;28;4
SP;MÁRIO COVAS;jun/97;30;40;24;5
SP;MÁRIO COVAS;set/97;30;45;20;4
SP;MÁRIO COVAS;dez/97;30;42;24;4
SP;MÁRIO COVAS;mar/98;27;44;26;3
SP;MÁRIO COVAS;abr/98;28;45;25;3
SP;MÁRIO COVAS;mai/98;24;48;23;5
SP;MÁRIO COVAS;jun/98;31;40;26;3
SP;MÁRIO COVAS;jul/98;31;43;22;3
SP;MÁRIO COVAS;dez/98;38;36;23;3
SP;MÁRIO COVAS;jun/99;28;40;29;3
SP;MÁRIO COVAS;set/99;27;38;30;5
SP;MÁRIO COVAS;dez/99;24;35;38;3
SP;MÁRIO COVAS;jun/00;20;35;43;2
SP;MÁRIO COVAS;nov/00;27;40;30;3
SP;MÁRIO COVAS;dez/00;29;39;29;3
SP;GERALDO ALCKMIN;jun/01;34;44;14;9
SP;GERALDO ALCKMIN;dez/01;41;40;14;6
SP;GERALDO ALCKMIN;fev/02;38;40;14;8
SP;GERALDO ALCKMIN;mai/02;42;38;15;5
SP;GERALDO ALCKMIN;jul/02;39;43;14;4
SP;GERALDO ALCKMIN;ago/02;32;48;15;5
SP;GERALDO ALCKMIN;set/02;33;44;18;5
SP;GERALDO ALCKMIN;out/02;45;41;9;5
SP;GERALDO ALCKMIN;out/02;56;32;8;4
SP;GERALDO ALCKMIN;dez/02;64;26;8;2
SP;GERALDO ALCKMIN;abr/03;59;29;9;3
SP;GERALDO ALCKMIN;dez/03;65;25;8;2
SP;GERALDO ALCKMIN;dez/04;60;27;9;4
SP;GERALDO ALCKMIN;abr/05;48;32;17;3
SP;GERALDO ALCKMIN;mar/06;69;23;6;2
SP;GERALDO ALCKMIN;abr/06;66;25;6;3
SP;JOSÉ SERRA;mar/07;39;37;16;8
SP;JOSÉ SERRA;mai/09;56;33;9;2
SP;JOSÉ SERRA;ago/09;57;32;9;3
SP;JOSÉ SERRA;mar/10;55;32;11;3
SP;GERALDO ALCKMIN;mar/11;48;29;14;8
SP;GERALDO ALCKMIN;jun/13;52;31;15;3
SP;GERALDO ALCKMIN;jul/13;38;40;20;2
SP;GERALDO ALCKMIN;nov/13;41;39;17;3
SP;GERALDO ALCKMIN;nov/13;41;39;17;3
SP;GERALDO ALCKMIN;jun/14;41;39;18;3
SP;GERALDO ALCKMIN;jul/14;46;37;14;3
SP;GERALDO ALCKMIN;ago/14;47;36;14;3
SP;GERALDO ALCKMIN;set/14;46;38;13;3
SP;GERALDO ALCKMIN;out/14;48;34;17;2
SP;GERALDO ALCKMIN;fev/15;38;36;24;2
SP;GERALDO ALCKMIN;nov/15;28;40;30;2

