# ----------------------------------------
# highcharts.com
# Audience Overview
# 20171217-20180117
# ----------------------------------------

Day Index,Users,Sessions,MB
12/18/17,"40,585","48,351","10"
12/19/17,"43,039","51,499","10"
12/20/17,"44,926","53,359","10"
12/21/17,"41,256","49,018","10"
12/22/17,"36,844","43,332","10"
12/23/17,"28,955","33,419","10"
12/24/17,"26,113","30,020","10"
12/25/17,"28,433","33,183","10"
12/26/17,"32,687","38,782","10"
12/27/17,"35,689","42,566","10"
12/28/17,"33,656","39,972","10"
12/29/17,"34,559","40,414","10"
12/30/17,"29,197","33,565","10"
12/31/17,"26,495","30,738","10"
1/1/18,"28,291","32,822","10"
1/2/18,"35,472","42,081","10"
1/3/18,"38,363","45,652","10"
1/4/18,"41,645","49,572","10"
1/5/18,"40,268","47,936","10"
1/6/18,"32,846","37,539","10"
1/7/18,"33,560","38,527","10"
1/8/18,"39,327","46,847","10"
1/9/18,"42,947","51,286","10"
1/10/18,"44,179","53,245","10"
1/11/18,"41,938","50,733","10"
1/12/18,"40,964","49,046","10"
1/13/18,"32,176","37,106","10"
1/14/18,"28,915","33,218","10"
1/15/18,"37,077","44,192","10"
1/16/18,"41,477","49,612","10"
1/17/18,"41,840","50,285","10"
